Subject,pswq-infreq,ius12-infreq,nfc-infreq,infreq,Accuracy,Random,Score,Reject
gh7hi15ar4c156kg8nhch44s.,0,0,0,0,30,0,0,0
gj0hifjpaxenxu53xcjr7r77.,0,0,0,0,32,0,0,0
gq8icyq41unwp4gudfk87tac.,0,0,0,0,31,0,0,0
gtouraixqbp4l3z0ffs8qj7e.,0,0,0,0,31,0,0,0
gx6a2ucc31wv12kflrog1zr4.,0,0,0,0,32,0,0,0
hbxh732mhsidc8thgdvcq9yq.,0,0,0,0,32,0,0,0
hsh4tg80zhn7j0dcc9uudluo.,0,0,0,0,32,0,0,0
i4f1u1r2l6tns6ari7dngbui.,0,1,0,1,29,0,1,1
idgddv7w9c7z6fup77kwv1rs.,0,0,0,0,27,0,0,0
ijq9c88uvlutsgpv06xf013b.,0,0,0,0,32,0,0,0
inruxr1qd5qmpvl3wg310m1w.,0,0,0,0,31,0,0,0
jimfaej7pd9wwo0dfhrfenkd.,0,0,0,0,31,0,0,0
ki2klr0u1w81k7tx85w2c87f.,0,0,0,0,30,0,0,0
l5fq59qp9rxxbg5v92n4uioy.,0,0,0,0,30,0,0,0
lc434nvpsvjjqilqg0h8s076.,1,1,1,3,14,1,4,1
lfoao7r4uxy84db9qd18ag9v.,0,0,0,0,28,0,0,0
lwb776999qivpoyrszg9pn2e.,0,0,0,0,31,0,0,0
ly1ndfqlpeon5t0x8yr4zapc.,0,0,0,0,30,0,0,0
m0lspw6vtsf3o55ajcl2gxqi.,0,0,1,1,30,0,1,1
m0x7mxhu0yu7w8qv34s4enkx.,0,0,0,0,31,0,0,0
m19y4phye4ijfvv65rxc84tf.,0,0,0,0,29,0,0,0
m8k8jw6enj428ebyc9bne0k3.,1,1,1,3,18,1,4,1
mmjtfqmrci8uq48qmlr7rqxi.,0,0,0,0,30,0,0,0
mt585rrdp1sjsuwxh8ixadfk.,0,0,1,1,27,0,1,1
n73q699ikrhdki2khtk0acey.,0,0,0,0,32,0,0,0
nk3at8lfn0o3igrzttlx3t7g.,0,0,0,0,23,0,0,0
nutt3fvcqnnifj3l6uxjs0yo.,0,0,0,0,22,0,0,0
nvyarhic8nix5bhiico65vht.,0,0,0,0,30,0,0,0
nyaqibgys6bhobnj2c2xplz3.,0,0,0,0,27,0,0,0
oj19qoqr7wtv43qguxff9001.,0,0,0,0,15,1,1,1
pfpu8ycuuz69vefmakpdrsom.,0,0,0,0,32,0,0,0
qe48pgqry97335lt6mio0v5n.,0,0,0,0,31,0,0,0
qnz9x517dryezj4ubt2ugqnu.,0,0,0,0,32,0,0,0
qr8vewgc6ztrr4xft956iugr.,0,0,0,0,32,0,0,0
qzfg5c2l3alspinn9ir3loo2.,0,0,0,0,32,0,0,0
r7ds1nnw53cxvgcdga3i0xr9.,0,0,0,0,29,0,0,0
ryp8pbrx06o3lf9kk3xmrvd4.,0,0,0,0,32,0,0,0
s7svn5ooz9hjgnhh8y2rk49w.,0,0,0,0,32,0,0,0
sk8xhhz7i16yvcknat7l6myb.,0,0,0,0,32,0,0,0
so1kmb7czojgpong8ho5kokg.,0,0,0,0,30,0,0,0
t2u2ja58o53je7gqs3l6gs9f.,0,0,0,0,29,0,0,0
tj5bifpb7nbzq1y66xilapy6.,0,0,0,0,31,0,0,0
u7bsetm5waqp5rswdz0kiidq.,0,0,0,0,32,0,0,0
u97vx3l7dr1vnjgzejub79zv.,0,0,0,0,32,0,0,0
uaq3lblq9duhiufub884193b.,0,1,0,1,32,0,1,1
uc73zzy4ijmhy7xle0l8tv6f.,1,0,0,1,18,1,2,1
v129jk07ciltivmjwqcm78ol.,0,0,0,0,24,0,0,0
v1f3sm3qhteclcemowf7uhwk.,0,0,1,1,30,0,1,1
vqn8pian81yhukhg0mzpolol.,1,0,1,2,31,0,2,1
wugb7esovvyay7hltfl8153g.,0,0,0,0,32,0,0,0
wyx9wrvsnqb4mdvsmwh9e732.,0,0,0,0,32,0,0,0
x43ns0nnesa95h5pltokft2t.,0,0,0,0,32,0,0,0
xfucttob88f1yfubgjhreejv.,0,0,0,0,32,0,0,0
y499346vdq7cv9i092jpbydk.,0,0,0,0,32,0,0,0
yjqxq9j80ck0kdjn648s83nd.,0,0,0,0,31,0,0,0
ynqn6okc1pjgks2ugz6vyntw.,0,0,0,0,32,0,0,0
yq58plsdt7gzeny0jok0dwgh.,0,0,0,0,30,0,0,0
zc2kx8286yy7yegrp80lg824.,0,0,1,1,29,0,1,1
